TLA,Journal,Primary Discipline,SPIN Major Disciplines Combined,JCR Information,Other Relevant Indexing,Open Access (OA),APC (If OA),SAGE Path Status
AAR,Allergy & Rhinology,Clinical Medicine,Clinical Medicine,,"ESCI, PMC",Yes,750 USD,Included
ACM,Advanced Composites Letters,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"ESCI, PMC, SCOPUS",Yes,600 USD,
ACT,Journal of Algorithms & Computational Technology,Materials Science & Engineering,Materials Science & Engineering,,,Yes,900 USD,
ADE,Advances in Mechanical Engineering,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,Yes,2100 USD,Included
ADT,Adsorption Science & Technology,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,"Medline, PMC",Yes,900 USD,
AFR,Africa Spectrum,Politics & International Relations,#N/A,Impact Factor,SCOPUS,Yes,None,
AJA,American Journal of Alzheimer's Disease & Other Dementias,Aging & Gerontology,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",Yes,1500 USD,Included
AMD,Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,Clinical Medicine,Clinical Medicine,,"ESCI, SCOPUS",Yes,1848 USD,Included
APC,Academic Pathology,Clinical Medicine,Clinical Medicine,,"PMC, SCOPUS",Yes,1950 USD,
ARR,Acta Radiologica Open,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,600 GBP,
ARX,International Journal of Advanced Robotic Systems,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,Yes,1350 USD,
ASN,ASN Neuro,Neurology,Clinical Medicine,Impact Factor,SCOPUS,Yes,1950 USD,Included
ASW,"Air, Soil and Water Research",Science & Society Studies,"Geography, Earth & Environmental Science",,SCOPUS,Yes,1699 USD,Included
AVC,Antiviral Chemistry & Chemotherapy,Pharmacology & Toxicology,Clinical Medicine,,,Yes,1500 USD,
BBI,Bioinformatics and Biology Insights,Life & Biomedical Sciences,General Biology,,"ESCI, PMC",Yes,1848 USD,Included
BCB,Breast Cancer: Basic and Clinical Research,Cancer / Oncology,Life & Biomedical Sciences,,"ESCI, PMC, SCOPUS",Yes,1500 USD,Included
BCI,Biochemistry Insights,Other Health Specialties,Life & Biomedical Sciences,,"ESCI, PMC",Yes,1500 USD,Included
BDS,Big Data & Society,Sociology,Communication & Media Studies,,PMC,Yes,800 USD,
BDX,Clinical Medicine Insights: Blood Disorders,Clinical Medicine,Life & Biomedical Sciences,,"ESCI, PMC",Yes,1848 USD,Included
BEC,Biomedical Engineering and Computational Biology,Materials Science & Engineering,General Biology,,SCOPUS,Yes,1848 USD,Included
BIC,Biomarkers in Cancer,Cancer / Oncology,Clinical Medicine,,"PMC, SCOPUS",Yes,1500 USD,Included
BII,Biomedical Informatics Insights,Life & Biomedical Sciences,General Biology,,ESCI,Yes,1848 USD,Included
BMI,Biomarker Insights,Pharmacology & Toxicology,General Biology,,SCOPUS,Yes,1848 USD,Included
BNA,Brain and Neuroscience Advances,Neurology,Clinical Medicine,,,Yes,600 GBP,Included
BSA,Brain Science Advances,Clinical Medicine,Clinical Medicine,,,Yes,None,
CAT,Clinical and Applied Thrombosis/Hemostasis,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,,Yes,2000 USD,Included
CBD,SAGE Open: CBDNA Journal,Education,Education,,"ESCI, SCOPUS",Yes,480 USD,
CBX,Journal of Circulating Biomarkers,Pharmacology & Toxicology,Life & Biomedical Sciences,,,Yes,1500 USD,
CCA,Journal of Current Chinese Affairs,Political Science & International Relations,#N/A,,"Medline, SCOPUS",Yes,None,
CCN,Journal of Concussion,Neurology,Clinical Medicine,,ESCI,Yes,1000 USD,Included
CCX,Cancer Control,Cancer / Oncology,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",Yes,2250 USD,Included
CHP,Journal of Evidence-Based Integrative Medicine,Other Health Specialties,Other Health Specialties,,"ESCI, SCOPUS",Yes,1200 USD,Included
CIC,Clinical Medicine Insights: Cardiology,Cardiology & Cardiovascular Medicine,Clinical Medicine,,"ESCI, PMC, SCOPUS",Yes,1200 USD,Included
CIX,Cancer Informatics,Cancer / Oncology,Clinical Medicine,,"Medline, SCOPUS",Yes,1848 USD,Included
CJK,Canadian Journal of Kidney Health and Disease,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,1800 USD,Included
CLL,Cell Transplantation,Life & Biomedical Sciences,Clinical Medicine,Impact Factor,,Yes,275 USD,Included
CMG,Therapeutic Advances in Gastrointestinal Endoscopy,Clinical Medicine,Clinical Medicine,,,Yes,2000 USD,Included
CMM,Cell Medicine,Life & Biomedical Sciences,Clinical Medicine,,"Medline, SCOPUS",Yes,1500 USD,Included
CMU,Clinical Medicine Insights: Urology,Clinical Medicine,Clinical Medicine,,"ESCI, SCOPUS",Yes,1699 USD,Included
CNO,Child Neurology Open,Neurology,Clinical Medicine,,"ESCI, PMC",Yes,1500 USD,Included
CNS,Journal of Central Nervous System Disease,Neurology,Life & Biomedical Sciences,,SCOPUS,Yes,1500 USD,Included
COB,Journal of Comorbidity,Pharmacology & Toxicology,Clinical Medicine,,SCOPUS,Yes,1125 USD,
CRA,"Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine",Clinical Medicine,Clinical Medicine,,"Medline, PMC, SCOPUS",Yes,1500 USD,Included
CRD,Chronic Respiratory Disease,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,Yes,2000 USD,Included
CSS,Chronic Stress,Neurology,Clinical Medicine,,,Yes,750 USD,Included
CTC,Contact,Clinical Medicine,Life & Biomedical Sciences,,SCOPUS,Yes,750 USD,Included
CTN,Clinical and Translational Neuroscience,Neurology,Clinical Medicine,,,Yes,750 USD,
CWS,Journal of Chinese Writing Systems,Arts & Humanities,History,,,Yes,1500 USD,
DCR,JCMS Case Reports,Clinical Medicine,#N/A,,SCOPUS,Yes,1000 USD,
DHJ,Digital Health,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,None,
DLI,Autism and Developmental Language Impairments,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,400 USD,Included
DOS,Dose-Response,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,,Yes,2000 USD,Included
